,SiteName,app,date,device_id,fmt_opt,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_h0,s_t0,tick,time,timestamp,ver_app,ver_format
0,74DA38EBF78E,AirBox,2018-12-07,74DA38EBF78E,1,2.0,1.0,24.765,120.969,9.0,912.0,100.0,1.0,0.0,0.0,0.0,0.0,70.0,24.75,1544212403.0,19:53:23,2018-12-07T19:53:23Z,1.0.7,3
1,苗栗縣縣立南埔國小,AirBox,2018-12-07,74DA38F20A3A,1,2.0,1.0,24.635,120.973,9.0,610.0,100.0,1.0,0.0,0.0,0.0,0.0,75.0,21.5,1544212661.0,19:57:41,2018-12-07T19:57:41Z,1.0.7,3
2,苗栗縣縣立田美國小,AirBox,2018-12-07,74DA38F20A3C,1,2.0,1.0,24.629,121.008,9.0,605.0,100.0,1.0,0.0,0.0,0.0,0.0,82.0,20.0,1544211436.0,19:37:16,2018-12-07T19:37:16Z,1.0.7,3
3,74DA38B0538C,AirBox,2018-12-07,74DA38B0538C,1,2.0,1.0,0.0,0.0,9.0,226.0,100.0,1.0,0.0,0.0,0.0,0.0,60.0,29.12,1544211876.0,19:44:36,2018-12-07T19:44:36Z,1.0.7,3
4,74DA38C7D1CE,AirBox,2018-12-07,74DA38C7D1CE,1,2.0,1.0,25.053,121.454,9.0,1506.0,100.0,1.0,0.0,0.0,0.0,0.0,65.0,27.37,1544211950.0,19:45:50,2018-12-07T19:45:50Z,0.35.2,3
5,74DA38F20B88,AirBox,2018-12-07,74DA38F20B88,1,2.0,1.0,22.75,120.316,9.0,95.0,100.0,1.0,0.0,31.0,34.0,20.0,67.0,23.62,1544212438.0,19:53:58,2018-12-07T19:53:58Z,1.0.7,3
6,74DA38EBF78A,AirBox,2018-12-07,74DA38EBF78A,1,2.0,1.0,24.706,120.912,9.0,569.0,100.0,1.0,0.0,1.0,1.0,0.0,58.0,25.87,1544212722.0,19:58:42,2018-12-07T19:58:42Z,1.0.7,3
7,嘉義縣大南國民小學,AirBox,2018-12-07,74DA38C7D1DE,1,2.0,1.0,23.558,120.554,9.0,3961.0,100.0,1.0,0.0,5.0,5.0,4.0,97.0,22.62,1544212589.0,19:56:29,2018-12-07T19:56:29Z,0.35.2,3
8,74DA38B0514E,AirBox,2018-12-07,74DA38B0514E,1,2.0,1.0,25.018,121.304,9.0,574.0,100.0,1.0,0.0,0.0,0.0,0.0,61.0,28.37,1544210360.0,19:19:20,2018-12-07T19:19:20Z,0.35.2,3
9,74DA38F20B82,AirBox,2018-12-07,74DA38F20B82,1,2.0,1.0,22.847,120.465,9.0,92.0,100.0,1.0,0.0,22.0,23.0,15.0,76.0,21.62,1544212077.0,19:47:57,2018-12-07T19:47:57Z,1.0.7,3
10,74DA38B051F0,AirBox,2018-12-07,74DA38B051F0,1,2.0,1.0,23.796,120.223,9.0,1150.0,100.0,1.0,0.0,7.0,8.0,5.0,100.0,23.0,1544210758.0,19:25:58,2018-12-07T19:25:58Z,0.35.2,3
